,,,CH1 T,CH1 V,CH2 T,CH2 V
Record Length,2500.000000,,-0.25,-0.08,0.112,-0.0032
,,,-0.207,-0.72,-0.42,0.012,,,1.28,-0.0072
,,,-0.2068,-0.64,-0.364,0.0104,,,1.28,-0.0072
,,,-0.2066,-0.64,-0.392,0.0112,,,1.36,-0.008
,,,-0.2064,-0.56,-0.364,0.0104,,,1.36,-0.0072
,,,-0.2062,-0.56,-0.336,0.0096,,,1.44,-0.0096
,,,-0.206,-0.56,-0.392,0.0112,,,1.36,-0.0088
,,,-0.2058,-0.48,-0.336,0.0096,,,1.44,-0.0088
,,,-0.2056,-0.48,-0.308,0.0088,,,1.44,-0.0088
,,,-0.2054,-0.48,-0.308,0.0088,,,1.52,-0.0088
,,,-0.2052,-0.56,-0.336,0.0096,,,1.44,-0.0104
,,,-0.205,-0.48,-0.336,0.0096,,,1.52,-0.0104
,,,-0.2048,-0.4,-0.308,0.0088,,,1.52,-0.0104
,,,-0.2046,-0.4,-0.28,0.008,,,1.52,-0.0104
,,,-0.2044,-0.4,-0.336,0.0096,,,1.6,-0.0104
,,,-0.2042,-0.24,-0.252,0.0072,,,1.52,-0.0112
,,,-0.204,-0.32,-0.28,0.008,,,1.6,-0.0112
,,,-0.2038,-0.24,-0.28,0.008,,,1.76,-0.0112
,,,-0.2036,-0.24,-0.28,0.008,,,1.68,-0.0112
,,,-0.2034,-0.24,-0.28,0.008,,,1.6,-0.012
,,,-0.2032,-0.16,-0.28,0.008,,,1.76,-0.0128
,,,-0.203,-0.16,-0.252,0.0072,,,1.68,-0.012
,,,-0.2028,-0.16,-0.252,0.0072,,,1.68,-0.012
,,,-0.2026,-0.08,-0.224,0.0064,,,1.68,-0.012
,,,-0.2024,-0.08,-0.224,0.0064,,,1.76,-0.0112
,,,-0.2022,-0.08,-0.224,0.0064,,,1.76,-0.0112
,,,-0.202,0,-0.224,0.0064,,,1.76,-0.0128
,,,-0.2018,0,-0.196,0.0056,,,1.92,-0.012
,,,-0.2016,0.08,-0.196,0.0056,,,1.76,-0.0128
,,,-0.2014,0.08,-0.168,0.0048,,,1.76,-0.0128
,,,-0.2012,0.08,-0.224,0.0064,,,1.76,-0.012
,,,-0.201,0.16,-0.196,0.0056,,,1.84,-0.0128
,,,-0.2008,0.24,-0.168,0.0048,,,1.84,-0.0136
,,,-0.2006,0.24,-0.196,0.0056,,,1.84,-0.0136
,,,-0.2004,0.24,-0.14,0.004,,,1.92,-0.0136
,,,-0.2002,0.24,-0.14,0.004,,,1.92,-0.0136
,,,-0.2,0.16,-0.14,0.004,,,1.92,-0.0136
,,,-0.1998,0.24,-0.112,0.0032,,,1.92,-0.0144
,,,-0.1996,0.24,-0.084,0.0024,,,1.92,-0.0136
,,,-0.1994,0.32,-0.084,0.0024,,,1.92,-0.0152
,,,-0.1992,0.32,-0.112,0.0032,,,1.92,-0.0144
,,,-0.199,0.4,-0.112,0.0032,,,2,-0.0136
,,,-0.1988,0.4,-0.084,0.0024,,,1.84,-0.016
,,,-0.1986,0.4,-0.056,0.0016,,,1.92,-0.0136
,,,-0.1984,0.48,-0.056,0.0016,,,2,-0.0144
,,,-0.1982,0.64,-0.112,0.0032,,,2,-0.0144
,,,-0.198,0.56,-0.084,0.0024,,,2,-0.0144
,,,-0.1978,0.56,-0.028,0.0008,,,2,-0.0144
,,,-0.1976,0.64,-0.056,0.0016,,,2,-0.0152
,,,-0.1974,0.64,-0.056,0.0016,,,2,-0.0152
,,,-0.1972,0.56,-0.056,0.0016,,,2.08,-0.0152
,,,-0.197,0.64,0,0,,,2.08,-0.016
,,,-0.1968,0.64,0,0,,,2,-0.0152
,,,-0.1966,0.72,0,0,,,2.08,-0.016
,,,-0.1964,0.72,0.028,-0.0008,,,2.08,-0.0152
,,,-0.1962,0.8,0.028,-0.0008,,,2.08,-0.0168
,,,-0.196,0.72,0.028,-0.0008,,,2.08,-0.016
,,,-0.1958,0.8,0.056,-0.0016,,,2.16,-0.016
,,,-0.1956,0.8,0.028,-0.0008,,,2.16,-0.016
,,,-0.1954,0.88,0.056,-0.0016,,,2.08,-0.016
,,,-0.1952,0.88,0.084,-0.0024,,,2.08,-0.0168
,,,-0.195,0.88,0.056,-0.0016,,,2.08,-0.0168
,,,-0.1948,0.96,0.056,-0.0016,,,2.08,-0.016
,,,-0.1946,0.96,0.084,-0.0024,,,2.08,-0.016
,,,-0.1944,0.96,0.084,-0.0024,,,2.08,-0.016
,,,-0.1942,0.96,0.112,-0.0032,,,2.16,-0.016
,,,-0.194,1.04,0.112,-0.0032,,,2.08,-0.016
,,,-0.1938,1.04,0.112,-0.0032,,,2.08,-0.0176
,,,-0.1936,1.12,0.112,-0.0032,,,2.08,-0.016
,,,-0.1934,1.04,0.112,-0.0032,,,2.08,-0.016
,,,-0.1932,1.12,0.14,-0.004,,,,-0.0168
,,,-0.193,1.12,0.168,-0.0048,,,,-0.016
,,,-0.1928,1.12,0.14,-0.004,,,,-0.0176
,,,-0.1926,1.2,0.14,-0.004,,,,-0.0176
,,,-0.1924,1.2,0.168,-0.0048,,,,-0.0168
,,,-0.1922,1.2,0.14,-0.004,,,,-0.0168
,,,-0.192,1.28,0.196,-0.0056,,,,-0.0168
,,,-0.1918,1.28,0.168,-0.0048,,,,-0.0176
,,,-0.1916,1.28,0.168,-0.0048,,,,-0.0168
,,,-0.1914,1.28,0.196,-0.0056,,,,-0.0176
,,,-0.1912,1.36,0.196,-0.0056,,,,-0.0168
,,,-0.191,1.36,0.196,-0.0056,,,,-0.0184
,,,-0.1908,1.44,0.224,-0.0064,,,,-0.0184
,,,-0.1906,1.36,0.224,-0.0064,,,,-0.0184
,,,-0.1904,1.44,0.196,-0.0056,,,,-0.0184
,,,-0.1902,1.44,0.196,-0.0056,,,,-0.0168
,,,-0.19,1.52,0.224,-0.0064,,,,-0.0176
,,,-0.1898,1.44,0.224,-0.0064,,,,-0.0184
,,,-0.1896,1.52,0.224,-0.0064,,,,-0.0184
,,,-0.1894,1.52,0.224,-0.0064,,,,-0.0176
,,,-0.1892,1.52,0.252,-0.0072,,,,-0.0184
,,,-0.189,1.6,0.28,-0.008,,,,-0.0176
,,,-0.1888,1.52,0.252,-0.0072,,,,-0.0184
,,,-0.1886,1.6,0.252,-0.0072,,,,-0.0176
,,,-0.1884,1.76,0.252,-0.0072,,,,-0.0176
,,,-0.1882,1.68,0.28,-0.008,,,,-0.0168
,,,-0.188,1.6,0.252,-0.0072,,,,-0.0176
,,,-0.1878,1.76,0.336,-0.0096,,,,-0.0176
,,,-0.1876,1.68,0.308,-0.0088,,,,-0.0176
,,,-0.1874,1.68,0.308,-0.0088,,,,
,,,-0.1872,1.68,0.308,-0.0088,,,,
,,,-0.187,1.76,0.308,-0.0088,,,,
,,,-0.1868,1.76,0.364,-0.0104,,,,
,,,-0.1866,1.76,0.364,-0.0104,,,,
,,,-0.1864,1.92,0.364,-0.0104,,,,
,,,-0.1862,1.76,0.364,-0.0104,,,,
,,,-0.186,1.76,0.364,-0.0104,,,,
,,,-0.1858,1.76,0.392,-0.0112,,,,
,,,-0.1856,1.84,0.392,-0.0112,,,,
,,,-0.1854,1.84,0.392,-0.0112,,,,
,,,-0.1852,1.84,0.392,-0.0112,,,,
,,,-0.185,1.92,0.42,-0.012,,,,
,,,-0.1848,1.92,0.448,-0.0128,,,,
,,,-0.1846,1.92,0.42,-0.012,,,,
,,,-0.1844,1.92,0.42,-0.012,,,,
,,,-0.1842,1.92,0.42,-0.012,,,,
,,,-0.184,1.92,0.392,-0.0112,,,,
,,,-0.1838,1.92,0.392,-0.0112,,,,
,,,-0.1836,2,0.448,-0.0128,,,,
,,,-0.1834,1.84,0.42,-0.012,,,,
,,,-0.1832,1.92,0.448,-0.0128,,,,
,,,-0.183,2,0.448,-0.0128,,,,
,,,-0.1828,2,0.42,-0.012,,,,
,,,-0.1826,2,0.448,-0.0128,,,,
,,,-0.1824,2,0.476,-0.0136,,,,
,,,-0.1822,2,0.476,-0.0136,,,,
,,,-0.182,2,0.476,-0.0136,,,,
,,,-0.1818,2.08,0.476,-0.0136,,,,
,,,-0.1816,2.08,0.476,-0.0136,,,,
,,,-0.1814,2,0.504,-0.0144,,,,
,,,-0.1812,2.08,0.476,-0.0136,,,,
,,,-0.181,2.08,0.532,-0.0152,,,,
,,,-0.1808,2.08,0.504,-0.0144,,,,
,,,-0.1806,2.08,0.476,-0.0136,,,,
,,,-0.1804,2.16,0.56,-0.016,,,,
,,,-0.1802,2.16,0.476,-0.0136,,,,
,,,-0.18,2.08,0.504,-0.0144,,,,
,,,-0.1798,2.08,0.504,-0.0144,,,,
,,,-0.1796,2.08,0.504,-0.0144,,,,
,,,-0.1794,2.08,0.504,-0.0144,,,,
,,,-0.1792,2.08,0.532,-0.0152,,,,
,,,-0.179,2.08,0.532,-0.0152,,,,
,,,-0.1788,2.16,0.532,-0.0152,,,,
,,,-0.1786,2.08,0.56,-0.016,,,,
,,,-0.1784,2.08,0.532,-0.0152,,,,
,,,-0.1782,2.08,0.56,-0.016,,,,
,,,-0.178,2.08,0.532,-0.0152,,,,
,,,-0.1778,2.08,0.588,-0.0168,,,,
,,,-0.1776,2.08,0.56,-0.016,,,,
,,,-0.1774,2.08,0.56,-0.016,,,,
,,,-0.1772,2.08,0.56,-0.016,,,,
,,,-0.177,2.08,0.56,-0.016,,,,
,,,-0.1768,2.08,0.588,-0.0168,,,,
,,,-0.1766,2.08,0.588,-0.0168,,,,
,,,-0.1764,2.08,0.56,-0.016,,,,
,,,-0.1762,2.08,0.56,-0.016,,,,
,,,-0.176,2.08,0.56,-0.016,,,,
,,,-0.1758,2.16,0.56,-0.016,,,,
,,,-0.1756,2.08,0.56,-0.016,,,,
,,,-0.1754,2.08,0.616,-0.0176,,,,
,,,-0.1752,2.08,0.56,-0.016,,,,
,,,-0.175,2.08,0.56,-0.016,,,,
,,,-0.1748,2.08,0.588,-0.0168,,,,
,,,-0.1746,2.08,0.56,-0.016,,,,
,,,-0.1744,2.08,0.616,-0.0176,,,,
,,,-0.1742,2.08,0.616,-0.0176,,,,
,,,-0.174,2,0.588,-0.0168,,,,
,,,-0.1738,2.08,0.588,-0.0168,,,,
,,,-0.1736,2.08,0.588,-0.0168,,,,
,,,-0.1734,2,0.616,-0.0176,,,,
,,,-0.1732,2,0.588,-0.0168,,,,
,,,-0.173,2.08,0.616,-0.0176,,,,,-0.226
,,,-0.1728,2.08,0.588,-0.0168,,,,,-0.173
,,,-0.1726,2.08,0.644,-0.0184,,,,,0.106
,,,-0.1724,2,0.644,-0.0184,,,,,9.433962264
,,,-0.1722,2,0.644,-0.0184,,,,,
